Difficulty level,A,B,C,D,E,F,Equation,Ans
1,24,98,78,37,68,0,24 + 98 + 78 + 37 + 68,305
1,56,42,87,16,11,0,56 + 42 + 87 + 16 + 11,212
1,54,39,76,14,25,0,54 + 39 + 76 + 14 + 25,208
1,32,19,48,66,73,0,32 + 19 + 48 + 66 + 73,238
1,34,57,15,78,29,0,34 + 57 + 15 + 78 + 29,213
1,35,68,35,65,46,0,35 + 68 + 35 + 65 + 46,249
1,48,59,78,38,49,0,48 + 59 + 78 + 38 + 49,272
1,65,57,95,47,37,0,65 + 57 + 95 + 47 + 37,301
1,21,54,45,58,79,0,21 + 54 + 45 + 58 + 79,257
1,16,65,69,19,27,0,16 + 65 + 69 + 19 + 27,196
2,26,87,7,54,70,0,26 + 87 - 7 + 54 - 70,90
2,24,55,13,34,53,0,24 + 55 - 13 + 34 - 53,47
2,13,48,27,74,36,0,13 + 48 - 27 + 74 - 36,72
2,78,29,32,15,24,0,78 + 29 - 32 + 15 - 24,66
2,25,22,38,24,5,0,25 + 22 - 38 + 24 - 5,28
2,48,76,37,24,15,0,48 + 76 - 37 + 24 - 15,96
2,76,49,87,22,11,0,76 + 49 - 87 + 22 - 11,49
2,58,48,78,38,18,0,58 + 48 - 78 + 38 - 18,48
2,49,56,45,12,19,0,49 + 56 - 45 + 12 - 19,53
2,36,54,44,23,15,0,36 + 54 - 44 + 23 - 15,54
3,3,42,24,72,11,0,( 3 * 42 ) + 24 - 72 + 11,89
3,34,4,87,23,37,0,( 34 * 4 ) + 87 - 23 + 37,237
3,13,5,36,49,19,0,( 13 * 5 ) + 36 - 49 + 19,71
3,26,4,17,42,36,0,( 26 * 4 ) + 17 - 42 + 36,115
3,2,17,29,25,23,0,( 2 * 17 ) + 29 - 25 + 23,61
3,3,18,17,22,13,0,( 3 * 18 ) + 17 - 22 + 13,62
3,4,14,28,26,25,0,( 4 * 14 ) + 28 - 26 + 25,83
3,6,9,23,45,33,0,( 6 * 9 ) + 23 - 45 + 33,65
3,7,16,18,45,22,0,( 7 * 16 ) + 18 - 45 + 22,107
3,5,18,11,12,16,0,( 5 * 18 ) + 11 - 12 + 16,105
4,88,2,54,3,32,0,( 88 / 2 ) + 54 - ( 3 * 32 ),2
4,68,4,98,12,3,0,( 68 / 4 ) + 98 - ( 12 * 3 ),79
4,52,13,37,5,6,0,( 52 / 13 ) + 37 - ( 5 * 6 ),11
4,72,3,137,11,14,0,( 72 / 3 ) + 137 - ( 11 * 14 ),7
4,48,4,48,9,2,0,( 48 / 4 ) + 48 - ( 9 * 2 ),42
4,84,12,23,7,4,0,( 84 / 12 ) + 23 - ( 7 * 4 ),2
4,56,14,26,4,6,0,( 56 / 14 ) + 26 - ( 4 * 6 ),6
4,119,17,33,6,6,0,( 119 / 17 ) + 33 - ( 6 * 6 ),4
4,65,13,55,7,8,0,( 65 / 13 ) + 55 - ( 7 * 8 ),4
4,121,11,49,6,9,0,( 121 / 11 ) + 49 - ( 6 * 9 ),6
5,36,35,4,74,2,23,36 + ( 35 * 4 ) + ( 74 / 2 ) - 23,190
5,23,22,4,36,6,3,23 + ( 22 * 4 ) + ( 36 / 6 ) - 3,114
5,65,3,32,42,3,42,65 + ( 3 * 32 ) + ( 42 / 3 ) - 42,133
5,12,45,4,85,5,48,12 + ( 45 * 4 ) + ( 85 / 5 ) - 48,161
5,45,56,2,46,23,68,45 + ( 56 * 2 ) + ( 46 / 23 ) - 68,91
5,32,32,3,48,6,32,32 + ( 32 * 3 ) + ( 48 / 6 ) - 32,104
5,26,49,5,136,17,146,26 + ( 49 * 5 ) + ( 136 / 17 ) - 146,133
5,86,33,6,98,7,55,86 + ( 33 * 6 ) + ( 98 / 7 ) - 55,243
5,62,24,4,87,3,24,62 + ( 24 * 4 ) + ( 87 / 3 ) - 24,163
5,66,22,8,64,4,32,66 + ( 22 * 8 ) + ( 64 / 4 ) - 32,226
